N, C++, Python, Meine Sprache
1000,1,56,1
2000,1,230,3
3000,2,527,8
4000,5,945,14
5000,6,1467,21
6000,9,2136,30
7000,13,2899,43
8000,18,3822,59
9000,20,4888,71
10000,23,6051,83
11000,28,7381,106
12000,34,8896,124
13000,40,10266,143
14000,46,12240,167
15000,53,13805,186
16000,59,15288,211
17000,68,17364,244
18000,77,20049,269
19000,84,22119,300
20000,95,24531,331
